,time,tc_1,tc_2
0,0.0,21.2,21.2
1,1.0,21.2,21.2
2,2.0,21.1,21.2
3,3.0,21.1,21.1
4,4.0,21.1,21.1
5,5.0,21.1,21.1
6,6.0,21.1,21.1
7,7.0,21.1,21.1
8,8.0,21.1,21.1
9,9.0,21.1,21.1
10,10.0,21.1,21.1
11,11.0,21.1,21.1
12,12.0,21.1,21.1
13,13.0,21.1,21.1
14,14.0,21.2,21.1
15,15.0,21.2,21.1
16,16.0,21.1,21.1
17,17.0,21.1,21.1
18,18.0,21.1,21.1
19,19.0,21.1,21.1
20,20.0,21.1,21.1
21,21.0,21.1,21.1
22,22.0,21.1,21.1
23,23.0,21.1,21.1
24,24.0,21.1,21.1
25,25.0,21.1,21.0
26,26.0,21.1,21.0
27,27.0,21.1,21.0
28,28.0,21.1,21.1
29,29.0,21.1,21.1
30,30.0,21.1,21.1
31,31.0,21.1,21.1
32,32.0,21.1,21.1
33,33.0,21.2,21.1
34,34.0,21.2,21.1
35,35.0,21.2,21.2
36,36.0,21.2,21.2
37,37.0,21.2,21.2
38,38.0,21.2,21.2
39,39.0,21.2,21.2
40,40.0,21.2,21.2
41,41.0,21.2,21.2
42,42.0,21.2,21.2
43,43.0,21.2,21.2
44,44.0,21.2,21.2
45,45.0,21.2,21.2
46,46.0,21.2,21.2
47,47.0,21.2,21.2
48,48.0,21.2,21.2
49,49.0,21.2,21.2
50,50.0,21.2,21.2
51,51.0,21.2,21.2
52,52.0,21.2,21.2
53,53.0,21.2,21.2
54,54.0,21.2,21.1
55,55.0,21.2,21.1
56,56.0,21.2,21.1
57,57.0,21.2,21.1
58,58.0,21.2,21.1
59,59.0,21.2,21.1
60,60.0,21.2,21.1
61,61.0,21.2,21.1
62,62.0,21.2,21.1
63,63.0,21.2,21.1
64,64.0,21.3,21.2
65,65.0,21.4,21.2
66,66.0,22.5,21.2
67,67.0,22.5,21.3
68,68.0,23.6,21.4
69,69.0,24.2,21.4
70,70.0,24.2,21.5
71,71.0,24.2,21.6
72,72.0,25.5,21.8
73,73.0,26.1,21.9
74,74.0,26.7,22.1
75,75.0,27.3,22.2
76,76.0,28.0,22.4
77,77.0,28.6,22.4
78,78.0,29.2,22.6
79,79.0,29.2,22.8
80,80.0,30.0,22.9
81,81.0,30.6,23.1
82,82.0,31.3,23.3
83,83.0,31.9,23.5
84,84.0,32.5,23.6
85,85.0,32.5,23.6
86,86.0,33.2,23.8
87,87.0,33.8,24.0
88,88.0,34.5,24.2
89,89.0,34.5,24.3
90,90.0,35.7,24.5
91,91.0,36.3,24.5
92,92.0,36.9,24.7
93,93.0,36.9,24.9
94,94.0,37.6,25.1
95,95.0,38.2,25.2
96,96.0,38.8,25.4
97,97.0,39.4,25.6
98,98.0,40.0,25.8
99,99.0,40.7,25.8
100,100.0,40.7,26.0
101,101.0,40.7,26.2
102,102.0,41.9,26.3
103,103.0,42.5,26.5
104,104.0,43.1,26.7
105,105.0,43.7,26.9
106,106.0,43.7,27.0
107,107.0,44.9,27.0
108,108.0,44.9,27.2
109,109.0,44.9,27.3
110,110.0,46.1,27.5
111,111.0,46.1,27.7
112,112.0,47.2,27.8
113,113.0,47.2,28.0
114,114.0,48.2,28.2
115,115.0,48.2,28.2
116,116.0,48.9,28.4
117,117.0,48.9,28.5
118,118.0,50.0,28.7
119,119.0,50.0,28.9
120,120.0,51.2,29.0
121,121.0,51.2,29.0
122,122.0,52.2,29.2
123,123.0,52.2,29.4
124,124.0,52.8,29.5
125,125.0,53.4,29.7
126,126.0,53.4,29.9
127,127.0,54.4,30.0
128,128.0,54.4,30.2
129,129.0,55.4,30.2
130,130.0,55.4,30.3
131,131.0,55.4,30.5
132,132.0,56.5,30.7
133,133.0,56.5,30.8
134,134.0,57.5,31.0
135,135.0,57.5,31.1
136,136.0,58.5,31.3
137,137.0,58.5,31.3
138,138.0,59.4,31.4
139,139.0,59.4,31.6
140,140.0,60.0,31.7
141,141.0,60.0,31.9
142,142.0,60.9,32.0
143,143.0,60.9,32.2
144,144.0,61.9,32.4
145,145.0,61.9,32.4
146,146.0,61.9,32.5
147,147.0,62.9,32.6
148,148.0,62.9,32.8
149,149.0,63.8,32.9
150,150.0,63.8,33.1
151,151.0,64.6,33.1
152,152.0,64.6,33.2
153,153.0,64.6,33.4
154,154.0,65.6,33.5
155,155.0,65.6,33.7
156,156.0,66.5,33.8
157,157.0,66.5,34.0
158,158.0,67.3,34.1
159,159.0,67.3,34.1
160,160.0,68.2,34.2
161,161.0,68.2,34.4
162,162.0,68.2,34.5
163,163.0,69.1,34.6
164,164.0,69.1,34.8
165,165.0,69.9,34.9
166,166.0,69.9,35.1
167,167.0,70.7,35.1
168,168.0,70.7,35.2
169,169.0,70.7,35.3
170,170.0,71.6,35.5
171,171.0,71.6,35.6
172,172.0,72.4,35.8
173,173.0,72.4,35.9
174,174.0,73.2,36.0
175,175.0,73.2,36.0
176,176.0,73.2,36.1
177,177.0,74.0,36.3
178,178.0,74.0,36.4
179,179.0,74.8,36.6
180,180.0,74.8,36.7
181,181.0,75.5,36.7
182,182.0,75.5,36.8
183,183.0,75.5,37.0
184,184.0,76.3,37.1
185,185.0,76.3,37.2
186,186.0,77.1,37.4
187,187.0,77.1,37.5
188,188.0,77.8,37.6
189,189.0,77.8,37.6
190,190.0,78.5,37.7
191,191.0,78.5,37.9
192,192.0,78.5,38.0
193,193.0,79.3,38.1
194,194.0,79.3,38.3
195,195.0,80.0,38.4
196,196.0,80.0,38.5
197,197.0,80.7,38.5
198,198.0,80.7,38.6
199,199.0,80.7,38.8
200,200.0,81.4,38.9
201,201.0,81.4,39.0
202,202.0,82.0,39.1
203,203.0,82.0,39.2
204,204.0,82.7,39.2
205,205.0,82.7,39.4
206,206.0,82.7,39.5
207,207.0,83.4,39.6
208,208.0,83.4,39.7
209,209.0,83.4,39.8
210,210.0,84.2,40.0
211,211.0,84.2,40.1
212,212.0,84.9,40.1
213,213.0,84.9,40.2
214,214.0,84.9,40.3
215,215.0,85.5,40.5
216,216.0,85.5,40.6
217,217.0,86.1,40.7
218,218.0,86.1,40.8
219,219.0,86.7,40.9
220,220.0,86.7,40.9
221,221.0,86.7,41.0
222,222.0,87.4,41.1
223,223.0,87.4,41.2
224,224.0,88.0,41.4
225,225.0,88.0,41.5
226,226.0,88.6,41.5
227,227.0,88.6,41.6
228,228.0,88.6,41.7
229,229.0,89.3,41.8
230,230.0,89.3,41.9
231,231.0,89.3,42.0
232,232.0,90.1,42.2
233,233.0,90.1,42.3
234,234.0,90.1,42.3
235,235.0,90.9,42.4
236,236.0,90.9,42.5
237,237.0,90.9,42.6
238,238.0,91.5,42.7
239,239.0,91.5,42.9
240,240.0,91.5,43.0
241,241.0,92.3,43.1
242,242.0,92.3,43.1
243,243.0,92.3,43.2
244,244.0,92.3,43.3
245,245.0,93.1,43.4
246,246.0,93.1,43.5
247,247.0,93.1,43.6
248,248.0,93.9,43.8
249,249.0,93.9,43.9
250,250.0,93.9,43.9
251,251.0,93.9,44.0
252,252.0,94.7,44.1
253,253.0,94.7,44.2
254,254.0,94.7,44.3
255,255.0,95.4,44.4
256,256.0,95.4,44.4
257,257.0,95.4,44.5
258,258.0,95.4,44.7
259,259.0,96.2,44.8
260,260.0,96.2,44.9
261,261.0,96.2,45.0
262,262.0,97.0,45.1
263,263.0,97.0,45.2
264,264.0,97.0,45.2
265,265.0,97.7,45.3
266,266.0,97.7,45.4
267,267.0,97.7,45.5
268,268.0,97.7,45.7
269,269.0,98.5,45.8
270,270.0,98.5,45.9
271,271.0,98.5,46.0
272,272.0,99.2,46.0
273,273.0,99.2,46.1
274,274.0,99.2,46.2
275,275.0,99.2,46.3
276,276.0,99.9,46.4
277,277.0,99.9,46.6
278,278.0,99.9,46.7
279,279.0,100.6,46.8
280,280.0,100.6,46.8
281,281.0,100.6,46.9
282,282.0,100.6,47.0
283,283.0,101.3,47.1
284,284.0,101.3,47.2
285,285.0,101.3,47.3
286,286.0,102.0,47.3
287,287.0,102.0,47.4
288,288.0,102.0,47.5
289,289.0,102.0,47.6
290,290.0,102.6,47.8
291,291.0,102.6,47.9
292,292.0,102.6,48.0
293,293.0,103.3,48.1
294,294.0,103.3,48.1
295,295.0,103.3,48.2
296,296.0,103.3,48.3
297,297.0,104.0,48.4
298,298.0,104.0,48.5
299,299.0,104.0,48.7
300,300.0,104.0,48.8
301,301.0,104.8,48.9
302,302.0,104.8,48.9
303,303.0,104.8,49.0
304,304.0,104.8,49.1
305,305.0,105.4,49.2
306,306.0,105.4,49.3
307,307.0,105.4,49.4
308,308.0,106.0,49.5
309,309.0,106.0,49.6
310,310.0,106.0,49.6
311,311.0,106.0,49.7
312,312.0,106.6,49.8
313,313.0,106.6,49.9
314,314.0,106.6,50.0
315,315.0,106.6,50.1
316,316.0,107.2,50.1
317,317.0,107.2,50.2
318,318.0,107.2,50.3
319,319.0,107.2,50.4
320,320.0,107.8,50.5
321,321.0,107.8,50.6
322,322.0,107.8,50.7
323,323.0,108.4,50.8
324,324.0,108.4,50.8
325,325.0,108.4,50.9
326,326.0,108.4,51.0
327,327.0,109.0,51.2
328,328.0,109.0,51.3
329,329.0,109.0,51.4
330,330.0,109.0,51.5
331,331.0,109.7,51.6
332,332.0,109.7,51.6
333,333.0,109.7,51.7
334,334.0,109.7,51.8
335,335.0,110.4,51.9
336,336.0,110.4,52.0
337,337.0,110.4,52.1
338,338.0,110.4,52.3
339,339.0,111.1,52.4
340,340.0,111.1,52.4
341,341.0,111.1,52.5
342,342.0,111.1,52.6
343,343.0,111.1,52.7
344,344.0,111.1,52.7
345,345.0,111.2,52.8
346,346.0,111.4,52.8
347,347.0,111.5,52.9
348,348.0,111.7,53.0
349,349.0,111.7,53.1
350,350.0,111.9,53.2
351,351.0,112.1,53.3
352,352.0,112.3,53.4
353,353.0,112.5,53.5
354,354.0,112.6,53.7
355,355.0,112.6,53.7
356,356.0,112.8,53.8
357,357.0,112.9,53.8
358,358.0,113.1,54.0
359,359.0,113.3,54.0
360,360.0,113.4,54.1
361,361.0,113.5,54.1
362,362.0,113.7,54.2
363,363.0,113.7,54.3
364,364.0,113.8,54.4
365,365.0,113.9,54.5
366,366.0,113.9,54.6
367,367.0,113.9,54.7
368,368.0,113.8,54.7
369,369.0,113.5,54.7
370,370.0,113.3,54.7
371,371.0,113.3,54.7
372,372.0,112.9,54.7
373,373.0,112.5,54.7
374,374.0,112.0,54.6
375,375.0,111.6,54.6
376,376.0,111.1,54.5
377,377.0,110.7,54.5
378,378.0,110.3,54.5
379,379.0,110.3,54.4
380,380.0,109.8,54.4
381,381.0,109.4,54.3
382,382.0,108.9,54.2
383,383.0,108.5,54.2
384,384.0,108.1,54.1
385,385.0,108.1,54.1
386,386.0,107.6,54.1
387,387.0,107.2,54.1
388,388.0,106.7,54.0
389,389.0,106.3,53.9
390,390.0,105.8,53.9
391,391.0,105.4,53.9
392,392.0,105.0,53.8
393,393.0,105.0,53.7
394,394.0,104.5,53.7
395,395.0,104.1,53.6
396,396.0,103.7,53.6
397,397.0,103.3,53.6
398,398.0,102.8,53.5
399,399.0,102.4,53.5
400,400.0,102.0,53.5
401,401.0,102.0,53.4
402,402.0,101.6,53.4
403,403.0,101.2,53.3
404,404.0,100.8,53.2
405,405.0,100.4,53.2
406,406.0,100.0,53.2
407,407.0,99.5,53.2
408,408.0,99.1,53.1
409,409.0,99.1,53.0
410,410.0,98.7,53.0
411,411.0,98.3,52.9
412,412.0,97.9,52.9
413,413.0,97.5,52.8
414,414.0,97.1,52.8
415,415.0,97.1,52.8
416,416.0,96.8,52.8
417,417.0,96.4,52.7
418,418.0,96.0,52.7
419,419.0,95.6,52.6
420,420.0,95.3,52.6
421,421.0,94.9,52.6
422,422.0,94.5,52.5
423,423.0,94.5,52.5
